,0,1,2
0,20180413192142,867330.02,31256.402243779999999952
1,20180413192144,867330.02,31256.402243779999999952
2,20180413192146,867336.09,31256.402243779999999952
3,20180413192147,867332.06,31256.402243779999999952
4,20180413192148,867328.0,31256.402243779999999952
5,20180413192150,867337.04,31256.402243779999999952
6,20180413192152,867343.1,31256.402243779999999952
7,20180413192155,867351.12,31256.402243779999999952
8,20180413192157,867364.02,31256.402243779999999952
9,20180413192158,867368.063,31256.402243779999999952
10,20180413192159,867373.0,31256.402243779999999952
11,20180413192201,868308.02,31256.402243779999999952
12,20180413192202,867467.0,31256.402243779999999952
13,20180413192203,867470.0,31256.402243779999999952
14,20180413192205,867479.0,31256.402243779999999952
15,20180413192208,867485.0,31256.402243779999999952
16,20180413192210,867493.0,31256.402243779999999952
17,20180413192211,867498.0,31256.402243779999999952
18,20180413192213,867505.02,31256.402243779999999952
19,20180413192214,867509.02,31256.402243779999999952
20,20180413192215,867514.04,31256.402243779999999952
21,20180413192216,867516.16,31256.402243779999999952
22,20180413192217,867518.3,31256.402243779999999952
23,20180413192220,867523.42,31256.402243779999999952
24,20180413192222,867530.02,31256.402243779999999952
25,20180413192223,867532.0,31256.402243779999999952
26,20180413192225,867539.11,31256.402243779999999952
27,20180413192227,867547.17,31256.402243779999999952
28,20180413192228,867550.02,31256.402243779999999952
29,20180413192229,867020.0,31256.402243779999999952
30,20180413192231,867027.0,31256.402243779999999952
31,20180413192233,867031.04,31256.402243779999999952
32,20180413192234,867035.06,31256.402243779999999952
33,20180413192236,867043.22,31256.402243779999999952
34,20180413192238,867671.0,31256.402243779999999952
35,20180413192239,867675.04,31256.402243779999999952
36,20180413192240,867679.08,31256.402243779999999952
37,20180413192241,867683.1,31256.402243779999999952
38,20180413192243,867690.26,31256.402243779999999952
39,20180413192245,867690.18,31256.402243779999999952
40,20180413192247,867693.2,31256.402243779999999952
41,20180413192249,867695.01,31256.402243779999999952
42,20180413192251,867698.13,31256.402243779999999952
43,20180413192252,867700.15001,31256.402243779999999952
44,20180413192253,867700.06,31256.402243779999999952
45,20180413192255,867703.17001,31256.402243779999999952
46,20180413192258,867706.20001,31256.402243779999999952
47,20180413192300,867709.0,31256.402243779999999952
48,20180413192302,867714.0,31256.402243779999999952
49,20180413192304,867723.2,31256.402243779999999952
50,20180413192305,867727.24,31256.402243779999999952
51,20180413192307,867735.32,31256.402243779999999952
52,20180413192309,867743.36,31256.402243779999999952
53,20180413192312,867441.0,31256.402243779999999952
54,20180413192313,867445.0,31256.402243779999999952
55,20180413192314,867449.0,31256.402243779999999952
56,20180413192315,867454.02,31256.402243779999999952
57,20180413192316,867459.0,31256.402243779999999952
58,20180413192318,867467.02,31256.402243779999999952
59,20180413192319,867471.063,31256.402243779999999952
60,20180413192321,867479.08,31256.402243779999999952
61,20180413192324,868001.02,31256.402243779999999952
62,20180413192325,868001.02,31256.402243779999999952
63,20180413192327,867826.47,31256.402243779999999952
64,20180413192328,867827.0,31256.402243779999999952
65,20180413192329,867831.02,31256.402243779999999952
66,20180413192330,867826.47,31256.402243779999999952
67,20180413192332,867826.47,31256.402243779999999952
68,20180413192334,867692.42,31256.402243779999999952
69,20180413192336,867694.42,31256.402243779999999952
70,20180413192338,867697.53,31256.402243779999999952
71,20180413192339,867699.54,31256.402243779999999952
72,20180413192341,867703.55,31256.402243779999999952
73,20180413192342,867707.57,31256.402243779999999952
74,20180413192344,867713.0,31256.402243779999999952
75,20180413192347,867714.1,31256.402243779999999952
76,20180413192349,867717.13,31256.402243779999999952
77,20180413192350,868074.0,31256.402243779999999952
78,20180413192352,868218.04,31256.402243779999999952
79,20180413192353,868218.04001,31256.402243779999999952
80,20180413192355,868223.06,31256.402243779999999952
81,20180413192357,868228.0,31256.402243779999999952
82,20180413192358,868232.1,31256.402243779999999952
83,20180413192400,868239.06,31256.402243779999999952
84,20180413192401,868600.0,31256.402243779999999952
85,20180413192403,868611.0,31256.402243779999999952
86,20180413192406,869024.0,31256.402243779999999952
87,20180413192408,869031.063,31256.402243779999999952
88,20180413192410,869036.0,31256.402243779999999952
89,20180413192411,869040.0,31256.402243779999999952
90,20180413192413,869177.02,31256.402243779999999952
91,20180413192414,869176.0,31256.402243779999999952
92,20180413192416,868666.0,31256.402243779999999952
93,20180413192417,868669.1,31256.402243779999999952
94,20180413192420,868676.0,31256.402243779999999952
95,20180413192421,868680.0,31256.402243779999999952
96,20180413192422,868682.0,31256.402243779999999952
97,20180413192424,868686.0,31256.402243779999999952
98,20180413192425,868688.0,31256.402243779999999952
99,20180413192426,869158.98,31256.402243779999999952
100,20180413192427,869159.98,31256.402243779999999952
101,20180413192429,869158.98,31256.402243779999999952
102,20180413192431,869158.98,31256.402243779999999952
103,20180413192433,869158.98,31256.402243779999999952
104,20180413192434,869280.31,31256.402243779999999952
105,20180413192435,869280.31,31256.402243779999999952
106,20180413192437,869280.31,31256.402243779999999952
107,20180413192439,869280.31,31256.402243779999999952
108,20180413192441,868688.0,31256.402243779999999952
109,20180413192443,868690.0,31256.402243779999999952
110,20180413192444,868692.0,31256.402243779999999952
111,20180413192446,868699.1,31256.402243779999999952
112,20180413192448,868705.1,31256.402243779999999952
113,20180413192450,868711.1,31256.402243779999999952
114,20180413192452,868711.1,31256.402243779999999952
115,20180413192454,868714.2,31256.402243779999999952
116,20180413192456,868714.2,31256.402243779999999952
117,20180413192459,868716.2,31256.402243779999999952
118,20180413192500,868716.2,31256.402243779999999952
119,20180413192502,868720.21,31256.402243779999999952
120,20180413192503,868722.22,31256.402243779999999952
