,0,1
0,20180227231706,1152000.0
1,20180227231708,1152000.0
2,20180227231710,1152000.0
3,20180227231713,1152000.0
4,20180227231714,1151989.0
5,20180227231715,1151634.0
6,20180227231717,1151634.0
7,20180227231718,1152000.0
8,20180227231720,1151520.0
9,20180227231722,1151520.0
10,20180227231723,1151605.0
11,20180227231725,1151500.0
12,20180227231726,1151500.0
13,20180227231728,1151506.0
14,20180227231729,1151506.0
15,20180227231731,1151420.0
16,20180227231734,1151400.0
17,20180227231735,1151400.0
18,20180227231736,1151000.0
19,20180227231737,1151000.0
20,20180227231739,1151042.0
21,20180227231741,1151042.0
22,20180227231743,1151000.0
23,20180227231745,1151000.0
24,20180227231747,1151396.0
25,20180227231748,1151396.0
26,20180227231750,1151000.0
27,20180227231753,1151390.0
28,20180227231755,1151000.0
29,20180227231756,1151000.0
30,20180227231757,1151000.0
31,20180227231758,1150999.0
32,20180227231800,1150999.0
33,20180227231802,1151000.0
34,20180227231804,1151000.0
35,20180227231805,1150865.0
36,20180227231806,1150865.0
37,20180227231807,1151000.0
38,20180227231810,1150865.0
39,20180227231812,1150999.0
40,20180227231814,1151000.0
41,20180227231815,1150861.0
42,20180227231817,1150871.0
43,20180227231820,1150871.0
44,20180227231822,1150871.0
45,20180227231824,1150872.0
46,20180227231826,1150871.0
47,20180227231828,1150876.0
48,20180227231831,1150876.0
49,20180227231832,1150871.0
50,20180227231833,1150865.0
51,20180227231834,1150874.0
52,20180227231835,1150874.0
53,20180227231837,1150874.0
54,20180227231838,1150874.0
55,20180227231839,1150997.0
56,20180227231841,1150874.0
57,20180227231843,1151000.0
58,20180227231845,1150876.0
59,20180227231846,1150866.0
60,20180227231847,1150874.0
61,20180227231848,1150874.0
62,20180227231851,1150865.0
63,20180227231853,1150620.0
64,20180227231854,1150527.0
65,20180227231856,1150864.0
66,20180227231858,1150527.0
67,20180227231859,1150527.0
68,20180227231901,1150527.0
69,20180227231902,1150527.0
70,20180227231904,1150500.0
71,20180227231906,1150500.0
