,0,1,2
0,20180306101232,1199478.0,14402.29054242
1,20180306101233,1199478.0,14402.29054242
2,20180306101235,1198570.0,14402.52654242
3,20180306101237,1198494.0,14402.59154242
4,20180306101238,1198494.0,14402.70354242
5,20180306101241,1198494.0,14402.67154242
6,20180306101243,1198494.0,14403.46546443
7,20180306101244,1198570.0,14403.83546443
8,20180306101245,1198570.0,14403.83546443
9,20180306101247,1198570.0,14404.95717963
10,20180306101248,1198570.0,14405.85717963
11,20180306101250,1199316.0,14398.0837878
12,20180306101251,1198495.0,14398.15495582
13,20180306101253,1198575.0,14398.13315869
14,20180306101255,1198494.0,14398.01222468
15,20180306101257,1199291.0,14398.13122468
16,20180306101258,1199290.0,14398.16122468
17,20180306101300,1199289.0,14398.16122468
18,20180306101302,1198491.0,14397.87373368
19,20180306101303,1198491.0,14397.15653368
20,20180306101304,1198200.0,14397.19753368
21,20180306101305,1199281.0,14397.10253368
22,20180306101306,1199280.0,14397.03052792
23,20180306101309,1198097.0,14397.99952792
24,20180306101310,1198200.0,14398.05852792
25,20180306101312,1198487.0,14396.87492792
26,20180306101314,1198487.0,14396.56996012
27,20180306101316,1198487.0,14396.4800812
28,20180306101317,1198487.0,14396.4800812
29,20180306101318,1198570.0,14395.78546411
30,20180306101320,1198570.0,14395.78546411
31,20180306101322,1198487.0,14396.83646411
32,20180306101324,1198085.0,14396.94046411
33,20180306101326,1198484.0,14397.04046411
34,20180306101328,1198484.0,14397.20446411
35,20180306101329,1198484.0,14397.20546411
36,20180306101330,1198000.0,14400.51296411
37,20180306101331,1198487.0,14401.63186411
38,20180306101334,1198000.0,14401.59086411
39,20180306101336,1197920.0,14402.62773249
40,20180306101338,1197920.0,14402.68973249
41,20180306101339,1197624.0,14403.68873249
42,20180306101341,1197628.0,14404.49273249
43,20180306101343,1197919.0,14403.78503778
44,20180306101344,1197919.0,14401.66989747
45,20180306101345,1198019.0,14403.35621022
46,20180306101346,1198475.0,14403.35421022
47,20180306101347,1198484.0,14403.44621022
48,20180306101348,1198484.0,14403.44621022
49,20180306101350,1198570.0,14405.35453419
50,20180306101352,1198875.0,14405.65253419
51,20180306101353,1198876.0,14405.93919578
52,20180306101354,1198876.0,14405.93919578
53,20180306101356,1199310.0,14406.11250061
54,20180306101357,1199310.0,14405.21193852
55,20180306101359,1199310.0,14406.41304755
56,20180306101400,1199310.0,14406.67499755
57,20180306101402,1199271.0,14407.67857965
58,20180306101403,1199271.0,14407.94657965
59,20180306101405,1199271.0,14408.89000343
60,20180306101406,1199271.0,14409.01360343
61,20180306101409,1199310.0,14408.82016656
62,20180306101411,1199310.0,14409.02866656
63,20180306101414,1199305.0,14409.15290844
64,20180306101416,1199271.0,14409.21290844
65,20180306101417,1198526.0,14409.23390844
66,20180306101418,1198502.0,14409.23490844
67,20180306101419,1198497.0,14409.23990844
68,20180306101421,1199309.0,14409.48990844
69,20180306101422,1199309.0,14409.58990844
70,20180306101423,1199310.0,14409.33490466
71,20180306101424,1199271.0,14409.35490466
72,20180306101426,1199270.0,14409.26390515
73,20180306101428,1199271.0,14409.41390515
74,20180306101430,1199271.0,14410.47095848
75,20180306101431,1199270.0,14409.95785176
76,20180306101432,1199000.0,14409.93335176
77,20180306101433,1199270.0,14409.96335176
78,20180306101434,1199270.0,14410.07335176
79,20180306101436,1199269.0,14410.20335176
80,20180306101437,1199271.0,14410.74335176
81,20180306101439,1199271.0,14410.80335176
82,20180306101441,1199271.0,14410.92935176
83,20180306101443,1199000.0,14411.20706176
84,20180306101445,1199000.0,14411.20706176
85,20180306101446,1199000.0,14411.99806176
86,20180306101447,1199000.0,14412.00806176
87,20180306101448,1199000.0,14412.03806176
88,20180306101450,1199271.0,14412.20635176
89,20180306101451,1199271.0,14412.21635176
90,20180306101452,1199271.0,14412.24635176
91,20180306101453,1199270.0,14412.25735176
92,20180306101455,1199309.0,14412.70699843
93,20180306101456,1199309.0,14412.82699843
94,20180306101458,1199309.0,14412.82699843
95,20180306101500,1199309.0,14412.41199843
96,20180306101502,1199271.0,14410.49105176
97,20180306101503,1199310.0,14414.08105176
