,0,1,2
0,20180312143341,1028503.0,24018.29163562
1,20180312143343,1028503.0,24018.29163562
2,20180312143344,1028504.97,24018.29163562
3,20180312143345,1028507.01,24018.29163562
4,20180312143346,1028507.01,24018.29163562
5,20180312143348,1028507.99,24018.29163562
6,20180312143351,1028506.99,24018.29163562
7,20180312143352,1028506.99,24018.29163562
8,20180312143353,1028501.0,24018.29163562
9,20180312143354,1028501.0,24018.29163562
10,20180312143356,1028304.0,24018.29163562
11,20180312143359,1028591.67333,24018.29163562
12,20180312143401,1028212.02,24018.29163562
13,20180312143402,1028213.0,24018.29163562
14,20180312143403,1028215.0,24018.29163562
15,20180312143405,1028310.0,24018.29163562
16,20180312143407,1028330.0,24018.29163562
17,20180312143410,1028706.0,24018.29163562
18,20180312143412,1028865.87667,24018.29163562
19,20180312143414,1028866.87667,24018.29163562
20,20180312143415,1028957.10333,24018.29163562
21,20180312143416,1028960.05,24018.29163562
22,20180312143418,1029510.0,24018.29163562
23,20180312143421,1029506.00001,24018.29163562
24,20180312143423,1029507.0,24018.29163562
25,20180312143425,1031172.0,24018.29163562
26,20180312143426,1031072.0,24018.29163562
27,20180312143427,1030412.0,24018.29163562
28,20180312143429,1030424.0,24018.29163562
29,20180312143431,1030436.0,24018.29163562
30,20180312143432,1030420.0,24018.29163562
31,20180312143433,1030422.0,24018.29163562
32,20180312143434,1030424.0,24018.29163562
33,20180312143436,1030428.0,24018.29163562
34,20180312143439,1030337.84,24018.29163562
35,20180312143440,1029908.0,24018.29163562
36,20180312143442,1029914.01,24018.29163562
37,20180312143443,1029917.0,24018.29163562
38,20180312143447,1029917.0,24018.29163562
39,20180312143449,1029466.01,24018.29163562
40,20180312143451,1029786.0,24018.29163562
41,20180312143453,1029450.01001,24018.29163562
42,20180312143454,1029450.01,24018.29163562
43,20180312143455,1029450.00001,24018.29163562
44,20180312143456,1029450.00001,24018.29163562
45,20180312143458,1029450.01,24018.29163562
46,20180312143500,1029450.01,24018.29163562
47,20180312143502,1028748.0,24018.29163562
48,20180312143503,1028779.0,24018.29163562
49,20180312143504,1029650.0,24018.29163562
50,20180312143505,1029732.66333,24018.29163562
51,20180312143507,1029733.66333,24018.29163562
52,20180312143508,1029733.66333,24018.29163562
53,20180312143510,1029733.66333,24018.29163562
54,20180312143511,1029733.66333,24018.29163562
55,20180312143512,1029753.69,24018.29163562
56,20180312143514,1029776.0,24018.29163562
57,20180312143515,1029796.0,24018.29163562
58,20180312143516,1029816.0,24018.29163562
59,20180312143518,1030350.0,24018.29163562
60,20180312143520,1030351.0,24018.29163562
61,20180312143521,1030110.76,24018.29163562
62,20180312143523,1029833.0,24018.29163562
63,20180312143524,1029853.0,24018.29163562
64,20180312143526,1029883.0,24018.29163562
65,20180312143528,1030077.35333,24018.29163562
66,20180312143530,1030080.36333,24018.29163562
67,20180312143533,1029798.0,24018.29163562
68,20180312143534,1029798.0,24018.29163562
69,20180312143535,1029798.0,24018.29163562
70,20180312143537,1029247.0,24018.29163562
71,20180312143538,1029259.0,24018.29163562
72,20180312143540,1029183.0,24018.29163562
73,20180312143543,1029051.54,24018.29163562
74,20180312143545,1029051.54,24018.29163562
75,20180312143547,1028902.01,24018.29163562
76,20180312143549,1028668.76,24018.29163562
77,20180312143551,1028000.0,24018.29163562
78,20180312143553,1028001.0,24018.29163562
79,20180312143556,1028005.0,24018.29163562
80,20180312143557,1028005.0,24018.29163562
81,20180312143558,1028006.98,24018.29163562
82,20180312143600,1028006.0,24018.29163562
83,20180312143602,1028006.98,24018.29163562
84,20180312143605,1028006.98,24018.29163562
85,20180312143607,1028006.98,24018.29163562
86,20180312143608,1028009.92,24018.29163562
87,20180312143609,1028009.92,24018.29163562
88,20180312143610,1028029.94,24018.29163562
89,20180312143613,1028196.0,24018.29163562
90,20180312143615,1028197.0,24018.29163562
91,20180312143617,1028197.0,24018.29163562
92,20180312143619,1028197.0,24018.29163562
93,20180312143621,1028122.0,24018.29163562
94,20180312143622,1028005.0,24018.29163562
95,20180312143625,1028005.0,24018.29163562
96,20180312143626,1028021.0,24018.29163562
97,20180312143627,1028041.0,24018.29163562
98,20180312143628,1028062.0,24018.29163562
99,20180312143630,1028092.0,24018.29163562
100,20180312143632,1028103.0,23980.1859142
101,20180312143633,1028103.0,23980.1859142
102,20180312143634,1028114.0,23980.1859142
103,20180312143636,1028000.01,23980.1859142
104,20180312143637,1028010.0,23980.1859142
105,20180312143639,1027588.94,23980.1859142
106,20180312143641,1027515.88,23980.1859142
107,20180312143643,1027535.88,23980.1859142
108,20180312143644,1027565.88,23980.1859142
109,20180312143645,1027585.88,23980.1859142
110,20180312143647,1027615.88,23980.1859142
111,20180312143649,1027635.88,23980.1859142
112,20180312143652,1027656.0,23980.1859142
113,20180312143654,1027646.01,23980.1859142
114,20180312143655,1027648.01,23980.1859142
115,20180312143657,1027658.0,23980.1859142
116,20180312143658,1027658.0,23980.1859142
117,20180312143701,1027658.0,23980.1859142
118,20180312143703,1027668.0,23980.1859142
119,20180312143705,1027594.0,23980.1859142
120,20180312143707,1027726.0,23980.1859142
121,20180312143708,1027726.0,23980.1859142
122,20180312143710,1027727.96,23980.1859142
123,20180312143711,1027727.96,23980.1859142
124,20180312143713,1027727.96,23980.1859142
125,20180312143714,1027727.96,23980.1859142
126,20180312143716,1027897.92,23980.1859142
127,20180312143717,1028058.0,23980.1859142
128,20180312143718,1028058.0,23980.1859142
