,0,1,2
0,20180309154535,936000.0,29677.14700272
1,20180309154537,935994.0,29679.05216342
2,20180309154538,935793.0,29679.15316342
3,20180309154539,936000.0,29678.88327873
4,20180309154541,936684.0,29679.90644513
5,20180309154542,936010.0,29680.20744513
6,20180309154544,936010.0,29681.19989123
7,20180309154545,935225.0,29690.11411302
8,20180309154547,933317.0,29706.97991103
9,20180309154548,933317.0,29711.67487537
10,20180309154549,933316.0,29712.29257537
11,20180309154550,933316.0,29712.30277537
12,20180309154553,935000.0,29715.50127637
13,20180309154554,935000.0,29715.53127737
14,20180309154555,935000.0,29716.53127737
15,20180309154556,935000.0,29716.57127737
16,20180309154558,933197.0,29716.66493597
17,20180309154559,933197.0,29716.09618857
